episode,reward,cost,epsilon,avg_loss,n_grad_updates,buffer_size
1,-47.128302427753326,585.9430242775333,0.995,0.0,0,96
2,-50.63441296790845,624.7241296790845,0.990025,0.0,0,192
3,-48.65422726911199,611.4622726911198,0.985074875,0.02284619766758399,89,288
4,-48.24844208587405,595.1044208587405,0.9801495006250001,0.004553278728659886,96,384
5,-51.3036382209617,620.4963822096172,0.9752487531218751,0.00942014633862224,96,480
6,-46.73076593874483,576.3876593874486,0.9703725093562657,0.002784067158548472,96,576
7,-48.235200993135514,600.7920099313553,0.9655206468094844,0.009259230302025875,96,672
8,-47.91239635051896,599.1839635051896,0.960693043575437,0.004598476829414722,96,768
9,-47.212776127458156,578.2677612745817,0.9558895783575597,0.01185759979125578,96,864
10,-45.46432460486777,564.7432460486776,0.9511101304657719,0.0083454726676185,96,960
11,-48.40609359164828,590.5609359164828,0.946354579813443,0.014217695606930647,96,1056
12,-47.821265562806154,593.6526556280614,0.9416228069143757,0.01320488219789695,96,1152
13,-47.96924476775863,597.4124476775863,0.9369146928798039,0.017792563453743544,96,1248
14,-44.51829703614428,557.0229703614427,0.9322301194154049,0.018371275228370603,96,1344
15,-45.73164513085074,571.9164513085074,0.9275689688183278,0.02049299847567454,96,1440
16,-49.94289829287807,616.6089829287805,0.9229311239742362,0.019675252561379846,96,1536
17,-46.0347977512094,572.4279775120942,0.918316468354365,0.02222752122906968,96,1632
18,-48.09676596479268,590.5276596479271,0.9137248860125932,0.023249640381739784,96,1728
19,-49.21544133217938,610.4144133217937,0.9091562615825302,0.024204340123105794,96,1824
20,-46.00682784211191,575.6882784211192,0.9046104802746175,0.02286455641054393,96,1920
21,-44.91957891956292,563.7357891956292,0.9000874278732445,0.025105553242610767,96,2016
22,-46.260371551468424,579.6637155146841,0.8955869907338783,0.027504443258900817,96,2112
23,-48.95155543647291,606.575554364729,0.8911090557802088,0.027470295720074017,96,2208
24,-47.064791257410235,592.2679125741024,0.8866535105013078,0.030846720221840467,96,2304
25,-49.97568652228953,614.4768652228953,0.8822202429488013,0.029040229506790638,96,2400
26,-47.45827242522828,591.3427242522828,0.8778091417340573,0.027935924047293764,96,2496
27,-46.10852193772931,574.725219377293,0.8734200960253871,0.02823089245551576,96,2592
28,-45.78324645318281,573.932464531828,0.8690529955452602,0.032039202351976805,96,2688
29,-47.35908488186717,587.770848818672,0.8647077305675338,0.030649427256624524,96,2784
30,-47.88161325853255,599.4761325853256,0.8603841919146962,0.032896278687985614,96,2880
31,-45.88151531359793,570.5351531359794,0.8560822709551227,0.029743361568156008,96,2976
32,-45.47233472816805,571.2433472816804,0.851801859600347,0.03300281515112147,96,3072
33,-45.98647682041303,575.4847682041304,0.8475428503023453,0.029803057860893507,96,3168
34,-47.904215307518584,588.7221530751856,0.8433051360508336,0.03322946846795579,96,3264
35,-46.694777429288706,583.227774292887,0.8390886103705794,0.03332364223509406,96,3360
36,-46.22973058008304,573.1173058008305,0.8348931673187264,0.03510892870447909,96,3456
37,-48.90740375646246,607.5140375646245,0.8307187014821328,0.03275824694234567,96,3552
38,-45.47701147204476,570.0301147204475,0.8265651079747222,0.03392446445650421,96,3648
39,-44.28387528887084,558.4587528887084,0.8224322824348486,0.030794046392353874,96,3744
40,-46.04454705228508,570.3654705228508,0.8183201210226743,0.03214287898542049,96,3840
41,-48.855866292963654,607.7786629296365,0.8142285204175609,0.03236500705437114,96,3936
42,-45.83044647844312,573.7444647844313,0.810157377815473,0.03125774448077815,96,4032
43,-43.38624700980257,548.7024700980255,0.8061065909263957,0.029761122345613938,96,4128
44,-44.52415738266494,565.9615738266493,0.8020760579717637,0.029169396409997717,96,4224
45,-44.79351998256536,565.1751998256536,0.798065677681905,0.02686813553251947,96,4320
46,-44.13059724880184,554.7659724880184,0.7940753492934954,0.027229870611336082,96,4416
47,-43.39973248489202,550.2173248489203,0.7901049725470279,0.02589524632397418,96,4512
48,-46.381443919773865,579.9744391977388,0.7861544476842928,0.02809981958125718,96,4608
49,-46.255293371741764,579.4329337174179,0.7822236754458713,0.02492913419458394,96,4704
50,-49.46722478375508,608.7322478375507,0.778312557068642,0.023383018449142885,96,4800
51,-46.60300962471574,585.1900962471573,0.7744209942832988,0.021858253846100222,96,4896
52,-45.346046651425056,575.5004665142505,0.7705488893118823,0.02336262188813028,96,4992
53,-43.26382651784724,549.1582651784723,0.7666961448653229,0.027337168517988175,96,5088
54,-45.99689723325006,570.6089723325007,0.7628626641409962,0.026106545822888922,96,5184
55,-43.522188189636466,553.3618818963645,0.7590483508202912,0.024926601215459716,96,5280
56,-43.34858837259659,541.9058837259657,0.7552531090661897,0.021362337332296494,96,5376
57,-44.00456104290373,554.465610429037,0.7514768435208588,0.026508698948115732,96,5472
58,-45.975026821746866,582.5702682174685,0.7477194593032545,0.021156285739076946,96,5568
59,-43.69922452343786,553.6922452343786,0.7439808620067382,0.0229870509065222,96,5664
60,-42.76059648979248,544.9059648979246,0.7402609576967045,0.021773458167444915,96,5760
61,-41.3003957397098,528.563957397098,0.736559652908221,0.02225085447328941,96,5856
62,-43.61918417943731,549.351841794373,0.7328768546436799,0.024029488563731622,96,5952
63,-46.48132523953915,585.5332523953913,0.7292124703704616,0.02202825384544364,96,6048
64,-45.10712340176606,566.6312340176607,0.7255664080186093,0.024413980335035983,96,6144
65,-41.30585255124867,525.2585255124866,0.7219385759785162,0.01847882615402341,96,6240
66,-43.091272873877045,547.3727287387705,0.7183288830986236,0.019475754294641472,96,6336
67,-45.40524063929953,565.6524063929951,0.7147372386831305,0.018313441483769566,96,6432
68,-46.26128946103933,583.0928946103934,0.7111635524897149,0.021337915248295758,96,6528
69,-45.033417111543145,567.8741711154316,0.7076077347272662,0.017794184871794034,96,6624
70,-42.163741497089056,539.0574149708908,0.7040696960536299,0.018804419567459263,96,6720
71,-44.26049352852457,553.7849352852456,0.7005493475733617,0.017369947987996664,96,6816
72,-42.13231364818369,536.4631364818367,0.697046600835495,0.02022541691258084,96,6912
73,-44.84184977882674,572.6184977882676,0.6935613678313175,0.015344409403041936,96,7008
74,-43.86334154101734,557.7934154101731,0.6900935609921609,0.019009247266997892,96,7104
75,-44.62169893142095,559.9769893142093,0.6866430931872001,0.016466840970679186,96,7200
76,-39.516388886685704,501.183888866857,0.6832098777212641,0.015654322764021344,96,7296
77,-41.55177993621884,526.2177993621883,0.6797938283326578,0.016603588776585337,96,7392
78,-43.21077596476871,540.947759647687,0.6763948591909945,0.01668856606314269,96,7488
79,-40.02930759983704,505.71307599837036,0.6730128848950395,0.014768492037546821,96,7584
80,-42.9362804266076,539.0428042660762,0.6696478204705644,0.014274456897207225,96,7680
81,-43.77312192395257,552.0912192395256,0.6662995813682115,0.01253561137612754,96,7776
82,-40.96923157477281,519.9723157477281,0.6629680834613705,0.013860448850512816,96,7872
83,-40.40144562248722,512.1344562248722,0.6596532430440636,0.010461623596105104,96,7968
84,-45.85701080471449,578.2701080471451,0.6563549768288433,0.012913901400073277,96,8064
85,-41.22188669727285,523.5188669727285,0.653073201944699,0.012170313408811731,96,8160
