episode,reward,cost,epsilon,avg_loss,n_grad_updates,buffer_size
1,-49.573355788759976,618.2535578875998,0.995,0.0,0,96
2,-51.14774645267284,626.6174645267283,0.990025,0.0,0,192
3,-50.35153269953346,609.0553269953346,0.985074875,0.024746466396648563,89,288
4,-49.768332464218226,614.7433246421823,0.9801495006250001,0.005642862643677897,96,384
5,-48.99699926455438,605.0499926455439,0.9752487531218751,0.006873905083921272,96,480
6,-50.124901158149925,618.4890115814995,0.9703725093562657,0.002531070157904954,96,576
7,-47.49317106575146,584.6117106575147,0.9655206468094844,0.008060890691316066,96,672
8,-49.980044131720916,613.9204413172091,0.960693043575437,0.003421512655525779,96,768
9,-49.63726133831744,604.7926133831743,0.9558895783575597,0.006883228774919796,96,864
10,-48.23831025335991,593.323102533599,0.9511101304657719,0.00503998694572753,96,960
11,-47.97806460555151,596.4806460555151,0.946354579813443,0.011026387022866402,96,1056
12,-50.3095761927395,628.015761927395,0.9416228069143757,0.008754451080070188,96,1152
13,-48.2712994991709,600.3129949917093,0.9369146928798039,0.01187090773116021,96,1248
14,-47.54390774609941,578.879077460994,0.9322301194154049,0.011134342707615966,96,1344
15,-50.13237106113841,619.4637106113838,0.9275689688183278,0.01575555398206537,96,1440
16,-45.4953692962447,563.6136929624472,0.9229311239742362,0.01723000219014163,96,1536
17,-48.738133965855006,592.1413396585504,0.918316468354365,0.016513403883436695,96,1632
18,-48.14719704079477,597.0919704079477,0.9137248860125932,0.016259678833497066,96,1728
19,-43.92733492674972,547.9333492674974,0.9091562615825302,0.01796642962047675,96,1824
20,-47.504296531134734,587.6029653113472,0.9046104802746175,0.01751993530100056,96,1920
21,-48.55285311355713,601.3285311355711,0.9000874278732445,0.02132967128515399,96,2016
22,-45.28187677870738,566.7587677870739,0.8955869907338783,0.024789549264824018,96,2112
23,-48.398599362029934,606.9259936202993,0.8911090557802088,0.023201820362980168,96,2208
24,-46.13628001095477,575.6628001095477,0.8866535105013078,0.021908779177465476,96,2304
25,-45.74878297237697,575.0278297237696,0.8822202429488013,0.020319306117016822,96,2400
26,-45.32205632320717,566.5005632320716,0.8778091417340573,0.02430046137305908,96,2496
27,-45.60164311946404,569.2364311946405,0.8734200960253871,0.024286014144308865,96,2592
28,-45.30794725622323,567.3194725622326,0.8690529955452602,0.026424394508164067,96,2688
29,-47.16131051052805,587.2331051052806,0.8647077305675338,0.025648954518449802,96,2784
30,-45.35371045145252,568.6771045145254,0.8603841919146962,0.02331778513325844,96,2880
