method,day_index,total_objective_cost,electricity_cost,qos_cost,switching_cost,total_energy_kwh,peak_power_kw,average_power_kw,average_active_servers,average_utilization,P1_sla_violation_rate,P2_sla_violation_rate,P3_sla_violation_rate,P1_violation_count,P2_violation_count,P3_violation_count,P1_sla_cost,P2_sla_cost,P3_sla_cost,P1_avg_delay,P2_avg_delay,P3_avg_delay,P1_completed,P2_completed,P3_completed,num_eval_days,start_day_index,end_day_index,random_seed
fixed,1074,421.725391301438,416.12539130143796,0.0,5.6,760.3189563649655,45.54057463090067,31.679956515206896,63.614583333333336,0.3099175396764523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,426.0,445.0,276.0,267,1064,1330,2024
fixed,1075,415.4883339235871,409.8883339235871,0.0,5.6,748.7988500227033,40.61658705453942,31.199952084279303,63.614583333333336,0.2866183608869917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0084745762711864,412.0,441.0,236.0,267,1064,1330,2024
fixed,1076,415.303253568818,409.703253568818,0.0,5.6,751.2254802805926,41.09171008861155,31.301061678358025,63.614583333333336,0.2905740261241483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,399.0,429.0,254.0,267,1064,1330,2024
fixed,1077,418.0797129717609,412.4797129717609,0.0,5.6,753.1903630193757,39.33173813901653,31.382931792473986,63.614583333333336,0.2959902752870959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0118110236220472,415.0,432.0,254.0,267,1064,1330,2024
fixed,1078,414.4150289504199,408.81502895042,0.0,5.6,748.1068653535883,43.33976770190241,31.171119389732848,63.614583333333336,0.28389180186449675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,397.0,436.0,244.0,267,1064,1330,2024
fixed,1079,414.33608802778116,408.7360880277812,0.0,5.6,744.9379431325063,39.32172093910879,31.03908096385443,63.614583333333336,0.27935062203573385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,406.0,429.0,227.0,267,1064,1330,2024
fixed,1080,412.75778036484974,407.1577803648497,0.0,5.6,744.8690052030687,42.7260979010486,31.036208550127864,63.614583333333336,0.2796332316734234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0119047619047619,357.0,387.0,252.0,267,1064,1330,2024
fixed,1081,415.90863159748994,410.3086315974899,0.0,5.6,747.967931845549,41.32459659074729,31.16533049356454,63.614583333333336,0.2855869658325481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,365.0,454.0,240.0,267,1064,1330,2024
fixed,1082,415.4008996271255,409.80089962712555,0.0,5.6,743.6542045073854,37.85553526424063,30.985591854474393,63.614583333333336,0.2775521383873178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0046728971962617,393.0,465.0,214.0,267,1064,1330,2024
fixed,1083,413.63924853444155,408.0392485344416,0.0,5.6,741.395250605693,41.910255687047126,30.89146877523721,63.614583333333336,0.2714151295553764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,404.0,446.0,219.0,267,1064,1330,2024
fixed,1084,415.3821079840683,409.7821079840683,0.0,5.6,747.226438935161,41.25226557873215,31.134434955631708,63.614583333333336,0.2846709770035261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.004255319148936,387.0,419.0,235.0,267,1064,1330,2024
fixed,1085,412.45050463262527,406.8505046326253,0.0,5.6,738.4482891965752,38.671121090142385,30.768678716523965,63.614583333333336,0.2662460649422905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,365.0,450.0,216.0,267,1064,1330,2024
fixed,1086,417.6929352861272,412.09293528612716,0.0,5.6,750.617188437772,40.150565969169264,31.275716184907168,63.614583333333336,0.2910112800529686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,400.0,422.0,258.0,267,1064,1330,2024
fixed,1087,413.3080972055886,407.70809720558856,0.0,5.6,735.9704141674046,36.65233999481369,30.665433923641856,63.614583333333336,0.2604863831221512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,355.0,413.0,208.0,267,1064,1330,2024
fixed,1088,419.4121003297995,413.81210032979953,0.0,5.6,752.4470003013112,45.120209409147165,31.351958345887965,63.614583333333336,0.29323130782731627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,402.0,436.0,251.0,267,1064,1330,2024
fixed,1089,414.46178208790445,408.8617820879045,0.0,5.6,742.5751466402062,44.18954849523642,30.940631110008592,63.614583333333336,0.2748263332987578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,380.0,446.0,228.0,267,1064,1330,2024
fixed,1090,422.5098297884622,416.90982978846216,0.0,5.6,762.5396334954719,43.38179257025124,31.772484728977997,63.614583333333336,0.3142191896792909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0036101083032491,382.0,465.0,277.0,267,1064,1330,2024
fixed,1091,413.75659256137266,408.1565925613727,0.0,5.6,747.0651573890757,40.85504714880718,31.127714891211486,63.614583333333336,0.28321607625731077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,375.0,415.0,242.0,267,1064,1330,2024
fixed,1092,410.8875660182138,405.2875660182138,0.0,5.6,736.5202219795626,39.72080204488778,30.688342582481777,63.614583333333336,0.2587596798716687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,370.0,408.0,219.0,267,1064,1330,2024
fixed,1093,417.0087202170511,411.40872021705115,0.0,5.6,744.3165153386062,41.0261179463138,31.013188139108593,63.614583333333336,0.2759480684380244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,338.0,408.0,245.0,267,1064,1330,2024
fixed,1094,416.8993759089217,411.29937590892166,0.0,5.6,754.2997321809544,40.95436214999346,31.429155507539765,63.614583333333336,0.2993339536398916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0040816326530613,438.0,467.0,245.0,267,1064,1330,2024
fixed,1095,414.60858420055916,409.0085842005592,0.0,5.6,746.8180903438218,47.087999999999994,31.117420430992578,63.614583333333336,0.2781006115882919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0043103448275863,392.0,447.0,232.0,267,1064,1330,2024
fixed,1096,415.83669303270193,410.23669303270196,0.0,5.6,745.6718439496667,42.41306850983396,31.069660164569445,63.614583333333336,0.2787383012507802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,402.0,423.0,237.0,267,1064,1330,2024
fixed,1097,413.1813604241572,407.5813604241572,0.0,5.6,744.3727010681121,45.45025540443706,31.015529211171337,63.614583333333336,0.27675527956463103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,392.0,441.0,228.0,267,1064,1330,2024
fixed,1098,414.8639212426182,409.26392124261815,0.0,5.6,746.8585129757296,42.25075803322566,31.119104707322066,63.614583333333336,0.28143312098773876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,399.0,441.0,235.0,267,1064,1330,2024
fixed,1099,414.08124342664837,408.48124342664835,0.0,5.6,742.348061087182,39.64035136623977,30.93116921196592,63.614583333333336,0.2736489210510074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,405.0,439.0,226.0,267,1064,1330,2024
