method,total_objective_cost,electricity_cost,qos_cost,switching_cost,total_energy_kwh,peak_power_kw,average_power_kw,average_active_servers,average_utilization,P1_sla_violation_rate,P2_sla_violation_rate,P3_sla_violation_rate,P1_violation_count,P2_violation_count,P3_violation_count,P1_sla_cost,P2_sla_cost,P3_sla_cost,P1_avg_delay,P2_avg_delay,P3_avg_delay,P1_completed,P2_completed,P3_completed,num_eval_days_x,start_day_index,end_day_index,random_seed,num_eval_days_y,conformal_coverage,conformal_avg_width,shield_mod_rate,shield_avg_mod_size,num_eval_days
dqn,285.187987087358,252.70446648810704,4.292134831460674,28.191385767790262,487.60667763980075,56.727,20.316944901658363,16.983107053682897,0.9873064808973974,0.0,0.0,0.004249442971914437,0.0,0.0,0.8164794007490637,0.0,0.0,4.292134831460674,1.0004014158398649,1.967019224708238,13.172495413908162,405.8239700374532,443.7041198501873,205.8988764044944,267.0,1064,1330,2024,267,,,,,267
aci_dqn,304.2318143091711,261.3771326612311,7.462921348314606,35.39176029962547,516.3032814746664,39.069840627736326,21.512636728111097,20.78854556803995,0.9132449997059572,0.0,0.0,0.006569160150057562,0.0,0.0,1.404494382022472,0.0,0.0,7.462921348314606,1.0009197019322005,2.7423595754692656,6.9444722505707395,405.8239700374532,443.7041198501873,231.80149812734084,267.0,1064,1330,2024,267,0.8990710678210677,7.287302869020114,,,267
dtaci_dqn,321.4465373012829,292.27987063461615,0.0,29.166666666666668,510.91846045575363,41.24755117027169,21.2882691856564,19.72425093632959,0.9334827011680131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0133808458555555,14.76380064101962,405.8239700374532,443.7041198501873,232.07116104868913,267.0,1064,1330,2024,267,0.9032151875901876,7.326002675587429,0.7291666666666666,4.614285714285714,267
queue_greedy,327.65644398849514,268.9515750746375,0.0,58.70486891385767,500.0513085087805,35.60914092135221,20.83547118786585,17.747308052434455,0.996156772216475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002061465292191,1.1152856369230808,3.268972671814517,405.8239700374532,443.57677902621725,230.22471910112358,267.0,1064,1330,2024,267,,,,,267
price_aware_greedy,329.4032725746632,263.6822987918917,0.0,65.72097378277154,500.0399188644958,35.8871884185791,20.83499661935399,17.745630461922595,0.996258236143822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0004590735893644,1.2315859734226002,3.7817665485460616,405.8239700374532,443.57677902621725,230.22097378277152,267.0,1064,1330,2024,267,,,,,267
fixed,415.04042404479054,409.4404240447905,0.0,5.6,746.4274654618297,41.38485114233868,31.101144394242898,63.614583333333336,0.2814548461129818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.002296993293954,405.8239700374532,443.7041198501873,232.07116104868913,267.0,1064,1330,2024,267,,,,,267
