method,day_index,slot,raw_action,shielded_action,mapped_servers
aci_dqn,1065,58,0,0,8
aci_dqn,1065,59,0,0,8
aci_dqn,1065,60,1,1,14
aci_dqn,1065,61,1,1,14
aci_dqn,1065,62,1,1,14
aci_dqn,1065,63,0,0,8
aci_dqn,1065,64,1,1,14
aci_dqn,1065,65,7,7,39
aci_dqn,1065,66,6,6,42
aci_dqn,1065,67,6,6,42
aci_dqn,1065,68,2,2,19
aci_dqn,1065,69,2,2,19
aci_dqn,1065,70,2,2,19
aci_dqn,1065,71,2,2,19
aci_dqn,1065,72,1,1,14
aci_dqn,1065,73,1,1,14
aci_dqn,1065,74,1,1,14
aci_dqn,1065,75,1,1,14
aci_dqn,1065,76,0,0,8
aci_dqn,1065,77,0,0,8
aci_dqn,1065,78,0,0,8
aci_dqn,1065,79,0,0,8
aci_dqn,1065,80,0,0,8
aci_dqn,1065,81,0,0,8
aci_dqn,1065,82,0,0,8
aci_dqn,1065,83,0,0,8
aci_dqn,1065,84,0,0,8
aci_dqn,1065,85,0,0,8
aci_dqn,1065,86,0,0,8
aci_dqn,1065,87,0,0,8
aci_dqn,1065,88,9,9,33
aci_dqn,1065,89,9,9,58
aci_dqn,1065,90,6,6,42
aci_dqn,1065,91,6,6,42
aci_dqn,1065,92,6,6,42
aci_dqn,1065,93,6,6,42
aci_dqn,1065,94,6,6,42
aci_dqn,1065,95,6,6,42
aci_dqn,1066,0,2,2,19
aci_dqn,1066,1,6,6,42
aci_dqn,1066,2,2,2,19
aci_dqn,1066,3,2,2,19
aci_dqn,1066,4,2,2,19
aci_dqn,1066,5,6,6,42
aci_dqn,1066,6,6,6,42
aci_dqn,1066,7,6,6,42
aci_dqn,1066,8,6,6,42
aci_dqn,1066,9,6,6,42
aci_dqn,1066,10,6,6,42
aci_dqn,1066,11,6,6,42
aci_dqn,1066,12,3,3,25
aci_dqn,1066,13,3,3,25
aci_dqn,1066,14,6,6,42
aci_dqn,1066,15,6,6,42
aci_dqn,1066,16,3,3,25
aci_dqn,1066,17,3,3,25
aci_dqn,1066,18,3,3,25
aci_dqn,1066,19,3,3,25
aci_dqn,1066,20,3,3,25
aci_dqn,1066,21,3,3,25
aci_dqn,1066,22,3,3,25
aci_dqn,1066,23,3,3,25
aci_dqn,1066,24,2,2,19
aci_dqn,1066,25,3,3,25
aci_dqn,1066,26,3,3,25
aci_dqn,1066,27,3,3,25
aci_dqn,1066,28,3,3,25
aci_dqn,1066,29,3,3,25
aci_dqn,1066,30,3,3,25
aci_dqn,1066,31,3,3,25
aci_dqn,1066,32,1,1,14
aci_dqn,1066,33,1,1,14
aci_dqn,1066,34,1,1,14
aci_dqn,1066,35,1,1,14
aci_dqn,1066,36,1,1,14
aci_dqn,1066,37,1,1,14
aci_dqn,1066,38,0,0,8
aci_dqn,1066,39,0,0,8
aci_dqn,1066,40,0,0,8
aci_dqn,1066,41,0,0,8
aci_dqn,1066,42,0,0,8
aci_dqn,1066,43,0,0,8
aci_dqn,1066,44,0,0,8
aci_dqn,1066,45,0,0,8
aci_dqn,1066,46,0,0,8
aci_dqn,1066,47,0,0,8
aci_dqn,1066,48,0,0,8
aci_dqn,1066,49,0,0,8
aci_dqn,1066,50,7,7,33
aci_dqn,1066,51,0,0,8
aci_dqn,1066,52,0,0,8
aci_dqn,1066,53,0,0,8
aci_dqn,1066,54,0,0,8
aci_dqn,1066,55,0,0,8
aci_dqn,1066,56,0,0,8
aci_dqn,1066,57,0,0,8
aci_dqn,1066,58,0,0,8
aci_dqn,1066,59,0,0,8
aci_dqn,1066,60,0,0,8
aci_dqn,1066,61,0,0,8
aci_dqn,1066,62,0,0,8
aci_dqn,1066,63,9,9,33
aci_dqn,1066,64,6,6,42
aci_dqn,1066,65,6,6,42
aci_dqn,1066,66,6,6,42
aci_dqn,1066,67,6,6,42
aci_dqn,1066,68,2,2,19
aci_dqn,1066,69,2,2,19
aci_dqn,1066,70,2,2,19
aci_dqn,1066,71,2,2,19
aci_dqn,1066,72,2,2,19
aci_dqn,1066,73,1,1,14
aci_dqn,1066,74,1,1,14
aci_dqn,1066,75,1,1,14
aci_dqn,1066,76,0,0,8
aci_dqn,1066,77,0,0,8
aci_dqn,1066,78,0,0,8
aci_dqn,1066,79,0,0,8
aci_dqn,1066,80,0,0,8
aci_dqn,1066,81,0,0,8
aci_dqn,1066,82,0,0,8
aci_dqn,1066,83,0,0,8
aci_dqn,1066,84,0,0,8
aci_dqn,1066,85,0,0,8
aci_dqn,1066,86,0,0,8
aci_dqn,1066,87,0,0,8
aci_dqn,1066,88,9,9,33
aci_dqn,1066,89,9,9,58
aci_dqn,1066,90,6,6,42
aci_dqn,1066,91,6,6,42
aci_dqn,1066,92,6,6,42
aci_dqn,1066,93,6,6,42
aci_dqn,1066,94,6,6,42
aci_dqn,1066,95,6,6,42
