episode,reward,cost,epsilon,avg_loss,n_grad_updates,buffer_size
1,-59.98613822650782,636.4613822650781,0.995,0.0,0,96
2,-58.67020284263119,601.9420284263119,0.990025,0.0,0,192
3,-59.933945824916,633.0594582491601,0.985074875,0.03049362511531021,89,288
4,-59.93068118167529,641.9068118167531,0.9801495006250001,0.0067981636530021206,96,384
5,-60.1435801369245,637.315801369245,0.9752487531218751,0.01631891004217323,96,480
6,-59.424349304251905,628.803493042519,0.9703725093562657,0.004339028307488964,96,576
7,-59.694506817313346,630.5450681731334,0.9655206468094844,0.018040672701317817,96,672
8,-59.75776999850383,636.817699985038,0.960693043575437,0.007161737640368908,96,768
9,-59.15181606065681,621.278160606568,0.9558895783575597,0.023930408465578996,96,864
10,-59.23165169102723,614.6365169102723,0.9511101304657719,0.01748350295141184,96,960
11,-59.64355459080621,633.7555459080622,0.946354579813443,0.0318900233542081,96,1056
12,-59.41751964566341,640.4951964566342,0.9416228069143757,0.029999213254389662,96,1152
13,-59.64667538586212,620.2267538586212,0.9369146928798039,0.043595518674313403,96,1248
14,-59.91162956422298,630.4362956422297,0.9322301194154049,0.04187543575729554,96,1344
15,-59.87155618479822,647.4355618479822,0.9275689688183278,0.0461705835768953,96,1440
16,-59.96177414564962,628.6577414564961,0.9229311239742362,0.04273808764022154,96,1536
17,-59.794097171859406,637.9009717185937,0.918316468354365,0.05381302306583772,96,1632
18,-59.66795892304972,625.7195892304971,0.9137248860125932,0.05498912338710701,96,1728
19,-60.091536186423816,640.0353618642382,0.9091562615825302,0.05856280533286432,96,1824
20,-59.27976777858473,617.4576777858474,0.9046104802746175,0.06301553877225767,96,1920
21,-60.21800493197343,650.0000493197344,0.9000874278732445,0.06719536463303181,96,2016
22,-59.523612833906135,633.2761283390614,0.8955869907338783,0.07441298322131236,96,2112
23,-59.97785842987787,631.9385842987786,0.8911090557802088,0.06966409973877792,96,2208
24,-59.751105673683796,647.1910567368378,0.8866535105013078,0.08028459500443812,96,2304
25,-59.653705210011694,637.5770521001167,0.8822202429488013,0.07597151618877736,96,2400
26,-59.70351381725095,632.4351381725094,0.8778091417340573,0.08293951939170559,96,2496
27,-59.1554068601598,627.194068601598,0.8734200960253871,0.07296350105510403,96,2592
28,-58.93145947733166,618.7145947733168,0.8690529955452602,0.07897514791693538,96,2688
29,-59.872784619777406,630.0478461977741,0.8647077305675338,0.07252692891051993,96,2784
30,-59.66436755396602,630.2436755396602,0.8603841919146962,0.08379380415620592,96,2880
31,-59.41009959665004,641.7409959665006,0.8560822709551227,0.07497140479002458,96,2976
32,-59.13780085460481,606.9780085460483,0.851801859600347,0.08275925395234178,96,3072
33,-59.599902818357116,631.519028183571,0.8475428503023453,0.07817639717056106,96,3168
34,-59.85295696902426,623.1295696902428,0.8433051360508336,0.08670967797903965,96,3264
35,-59.31241834815657,622.644183481566,0.8390886103705794,0.08020523433030273,96,3360
36,-58.82453514570753,615.1253514570756,0.8348931673187264,0.07806061545852572,96,3456
37,-59.95449046443546,630.1449046443545,0.8307187014821328,0.07549508315666269,96,3552
38,-59.50867919722557,621.2467919722559,0.8265651079747222,0.07825528971928482,96,3648
39,-59.720792410010546,621.8079241001053,0.8224322824348486,0.06909311877097934,96,3744
40,-59.39864586563262,618.7064586563265,0.8183201210226743,0.07817450012468423,96,3840
41,-59.18474261867754,613.0874261867754,0.8142285204175609,0.06727246382312539,96,3936
42,-59.58136132992794,627.8536132992793,0.810157377815473,0.06711177052541946,96,4032
43,-59.42645508345768,620.4245508345768,0.8061065909263957,0.06724479421973228,96,4128
44,-59.69437578052245,625.3837578052246,0.8020760579717637,0.0659075749378341,96,4224
45,-59.650957019959776,629.3895701995975,0.798065677681905,0.06302989477020067,96,4320
46,-59.51381910676135,629.4581910676135,0.7940753492934954,0.05804641519595558,96,4416
47,-60.17876069593861,630.1076069593862,0.7901049725470279,0.055533714699170865,96,4512
48,-59.03798636731216,614.2598636731216,0.7861544476842928,0.06012369672923038,96,4608
49,-59.657486342579844,643.2548634257985,0.7822236754458713,0.058044754880635686,96,4704
50,-59.63349849082697,623.2149849082697,0.778312557068642,0.052375303950005524,96,4800
51,-59.54833491791496,627.6433491791495,0.7744209942832988,0.04759737371932715,96,4896
52,-58.45840921834378,618.7840921834377,0.7705488893118823,0.04195013413360963,96,4992
53,-59.77806361901142,624.6606361901142,0.7666961448653229,0.05215810339238184,96,5088
54,-59.60083825494081,622.7683825494082,0.7628626641409962,0.03887588967336342,96,5184
55,-59.60766655173007,624.5166655173006,0.7590483508202912,0.05366253920753176,96,5280
56,-58.68189736638907,626.2989736638908,0.7552531090661897,0.04696804339376589,96,5376
57,-58.854225150069354,604.0222515006935,0.7514768435208588,0.051407257735263556,96,5472
58,-58.87347998687232,622.3347998687234,0.7477194593032545,0.04103092954028398,96,5568
59,-60.14520084430009,641.1720084430012,0.7439808620067382,0.044144553336082026,96,5664
60,-59.449957678944834,622.0995767894484,0.7402609576967045,0.038397402934303194,96,5760
61,-58.65784011625893,614.8984011625894,0.736559652908221,0.04800777408915261,96,5856
62,-58.895277594550556,619.7927759455055,0.7328768546436799,0.04183946438812806,96,5952
63,-59.55548192684798,616.7948192684801,0.7292124703704616,0.06133549076427395,96,6048
64,-59.134308475876225,617.8630847587624,0.7255664080186093,0.043747378076659516,96,6144
65,-59.52103558553467,631.8103558553469,0.7219385759785162,0.050406908034347,96,6240
66,-59.36799144763702,626.9199144763705,0.7183288830986236,0.04317389188994033,96,6336
67,-58.65834548680845,608.1834548680847,0.7147372386831305,0.05840734110097401,96,6432
68,-60.10903964834255,630.9703964834255,0.7111635524897149,0.045737181605848796,96,6528
69,-58.924443611322545,620.8044361132256,0.7076077347272662,0.046445473708445206,96,6624
70,-59.13180999685561,621.4380999685561,0.7040696960536299,0.05136557045140459,96,6720
71,-58.55748616593295,614.4948616593296,0.7005493475733617,0.050721796782454476,96,6816
72,-59.40272872622826,615.6272872622826,0.697046600835495,0.055711651400391325,96,6912
73,-59.266774499513346,628.9077449951333,0.6935613678313175,0.0588783533651925,96,7008
74,-58.54558766087217,610.7758766087215,0.6900935609921609,0.05216249769243101,96,7104
75,-59.274569415002425,628.9856941500243,0.6866430931872001,0.05820131779182702,96,7200
76,-59.49462366880262,628.546236688026,0.6832098777212641,0.053581064101308584,96,7296
77,-60.102185507384746,646.2618550738475,0.6797938283326578,0.06096952913018564,96,7392
78,-59.29622842508776,618.4022842508776,0.6763948591909945,0.06499035691376776,96,7488
79,-59.95484333193123,634.7084333193121,0.6730128848950395,0.0571615396377941,96,7584
80,-58.831736604973834,622.9973660497386,0.6696478204705644,0.06926891629700549,96,7680
81,-59.81577638578029,624.5577638578029,0.6662995813682115,0.054882985020716056,96,7776
82,-59.244237808030746,627.6023780803074,0.6629680834613705,0.06104081774537917,96,7872
83,-58.31825544047378,624.7625544047378,0.6596532430440636,0.06588281388879598,96,7968
84,-59.481131411371685,619.8313141137169,0.6563549768288433,0.0671505803814701,96,8064
85,-59.68626685292415,639.8226685292414,0.653073201944699,0.06738358738463528,96,8160
86,-58.992506251646645,607.0850625164665,0.6498078359349755,0.062272624728696734,96,8256
87,-58.513853181288866,616.4585318128887,0.6465587967553006,0.0682846175962671,96,8352
88,-59.100728381819486,627.487283818195,0.6433260027715241,0.06864509298854198,96,8448
89,-57.82114952448471,616.4914952448472,0.6401093727576664,0.07281382689931586,96,8544
90,-58.925932649484956,628.4993264948496,0.6369088258938781,0.0815604134259047,96,8640
91,-59.63448667726469,649.5048667726471,0.6337242817644086,0.08621754601578384,96,8736
92,-57.52442842666679,620.0042842666679,0.6305556603555866,0.05969386257735702,96,8832
93,-59.01823917051978,633.142391705198,0.6274028820538087,0.0666748711616189,96,8928
94,-59.05091801856437,623.9891801856438,0.6242658676435396,0.08340736333533035,96,9024
95,-57.12999980569143,596.4999980569144,0.6211445383053219,0.08217982796486467,96,9120
96,-56.52306636825697,605.7906636825695,0.6180388156137953,0.07872641610447317,96,9216
97,-57.99026943760143,613.7426943760147,0.6149486215357263,0.07091747816593852,96,9312
98,-58.29471857149282,632.8671857149282,0.6118738784280476,0.07827035522980925,96,9408
99,-58.018503513672194,623.205035136722,0.6088145090359074,0.07866536989846888,96,9504
100,-59.095405867115886,634.1540586711586,0.6057704364907278,0.08485574688044532,96,9600
101,-59.8327797505692,628.2077975056918,0.6027415843082742,0.07621524794861519,96,9696
102,-54.56019969832547,589.5819969832548,0.5997278763867329,0.08060760208657787,96,9792
103,-57.62978426914947,626.3378426914944,0.5967292370047992,0.0709199982084101,96,9888
104,-58.21261788721223,623.0461788721225,0.5937455908197752,0.08468351249272625,96,9984
105,-58.89019118909628,625.0219118909629,0.5907768628656763,0.1041323831207895,96,10080
106,-58.393437668685856,638.7743766868582,0.5878229785513479,0.08788197156294093,96,10176
107,-59.69805150006652,636.9405150006653,0.5848838636585911,0.09587179070998293,96,10272
108,-59.1290845588741,631.2508455887407,0.5819594443402982,0.09273703347328895,96,10368
109,-58.201581530137375,621.0158153013738,0.5790496471185967,0.09864841117814649,96,10464
110,-56.397464839290414,601.8946483929042,0.5761543988830038,0.08033419684215914,96,10560
111,-56.89435167294743,614.1835167294743,0.5732736268885887,0.09670937570626847,96,10656
112,-59.20032958106091,642.6432958106088,0.5704072587541458,0.07108226288013005,96,10752
113,-55.5391097424473,605.1910974244729,0.567555222460375,0.0952849172608694,96,10848
114,-58.761894932225594,637.8989493222559,0.5647174463480732,0.10547295047338896,96,10944
115,-58.549895291028065,629.7789529102806,0.5618938591163328,0.09750315771573999,96,11040
116,-57.911687645308206,631.7968764530818,0.5590843898207511,0.08702985823523098,96,11136
117,-57.19028959045952,622.4228959045951,0.5562889678716474,0.09278078285084727,96,11232
118,-57.428392278913584,624.2039227891358,0.5535075230322891,0.09968833599123172,96,11328
119,-56.4115961947856,619.915961947856,0.5507399854171277,0.10061389449401759,96,11424
120,-58.30630008490292,633.9430008490291,0.547986285490042,0.09900759427788823,96,11520
121,-55.04804436490566,604.2404436490564,0.5452463540625918,0.09438599860004615,96,11616
122,-58.62603514662194,645.1803514662192,0.5425201222922789,0.09718759523336,96,11712
123,-58.963463245451145,642.1946324545113,0.5398075216808175,0.1123700773556872,96,11808
124,-56.30828757182583,616.2428757182583,0.5371084840724134,0.13098536118438156,96,11904
125,-56.78205594743403,620.5005594743402,0.5344229416520513,0.11421105240879115,96,12000
126,-56.111577392298884,595.0757739229889,0.531750826943791,0.10683075561731432,96,12096
127,-56.935526577597585,613.6352657759757,0.5290920728090721,0.09706835846979327,96,12192
128,-56.35626941920371,624.0426941920371,0.5264466124450268,0.10347588189082065,96,12288
129,-58.129063612703725,630.1306361270372,0.5238143793828016,0.11541831670911051,96,12384
130,-57.94504805648012,643.2904805648012,0.5211953074858876,0.10652178257199314,96,12480
131,-56.58362980461849,611.9162980461847,0.5185893309484582,0.0897562982524202,96,12576
132,-53.82512702124507,581.4512702124505,0.5159963842937159,0.09292859467677772,96,12672
133,-56.46101045532208,622.510104553221,0.5134164023722473,0.09940314483052741,96,12768
134,-60.055674634931634,656.4767463493165,0.510849320360386,0.10946638270494684,96,12864
135,-58.488908839011195,634.4490883901119,0.5082950737585841,0.12753897180664353,96,12960
136,-56.953838068735436,622.8183806873546,0.5057535983897912,0.1120934326997182,96,13056
137,-56.55390849932473,607.4190849932475,0.5032248303978422,0.11868658680274773,96,13152
138,-57.218637924142314,616.4663792414232,0.500708706245853,0.10949309255617361,96,13248
139,-56.32889948696267,623.5289948696268,0.4982051627146237,0.10157190772588365,96,13344
140,-56.68475897697354,610.7675897697357,0.49571413690105054,0.12332669550960418,96,13440
141,-53.87615846089106,583.2815846089106,0.4932355662165453,0.09469001877005212,96,13536
142,-58.7585663433515,627.185663433515,0.4907693883854626,0.11652691883500665,96,13632
143,-57.01745517967361,614.694551796736,0.4883155414435353,0.10289395160119359,96,13728
144,-57.95993524034219,637.7993524034221,0.4858739637363176,0.11949036397466746,96,13824
145,-57.52765384181436,623.3965384181435,0.483444593917636,0.12048428935425666,96,13920
146,-56.24841899119514,611.6841899119515,0.4810273709480478,0.126075867524681,96,14016
147,-56.659259342340434,612.0725934234046,0.47862223409330756,0.09922748755586024,96,14112
148,-57.48835855962516,638.4835855962516,0.47622912292284103,0.11967810030425123,96,14208
149,-55.249579250223405,600.0157925022341,0.4738479773082268,0.10718082703533582,96,14304
150,-58.00434919532288,624.5634919532288,0.47147873742168567,0.11116635436580206,96,14400
151,-55.85999107411293,615.4799107411291,0.46912134373457726,0.11657466035103425,96,14496
152,-53.80590881825458,590.2590881825456,0.46677573701590436,0.09711329621495679,96,14592
153,-55.84627881783221,604.662788178322,0.46444185833082485,0.10906900877792698,96,14688
154,-55.70094319629179,618.4494319629177,0.46211964903917074,0.10825365880737081,96,14784
155,-55.04360934266976,599.6360934266978,0.4598090507939749,0.09496605916259189,96,14880
156,-54.38486225033412,601.8086225033413,0.457510005540005,0.10123872577484387,96,14976
157,-55.02722790707267,608.5922790707266,0.45522245551230495,0.10743312205401405,96,15072
158,-56.717649106001076,624.6564910600108,0.4529463432347434,0.10388481036837523,96,15168
159,-54.34484045558481,590.9684045558482,0.4506816115185697,0.09794599872354108,96,15264
160,-57.32061179644892,630.2061179644891,0.4484282034609769,0.0880944639405546,96,15360
161,-54.57023307939627,601.5023307939625,0.446186062443672,0.08983704229467548,96,15456
162,-54.95164099199167,606.2764099199167,0.4439551321314536,0.09954731729521882,96,15552
163,-53.64039050215328,574.9239050215328,0.4417353564707963,0.0976382610000049,96,15648
164,-51.31947077872322,566.1747077872321,0.43952667968844233,0.08410345483571291,96,15744
165,-52.8572914310275,574.7729143102749,0.43732904629000013,0.10253470987663604,96,15840
